W_left,W_right,direct_relative_matrix_distance,conjugated_relative_distance,eigenvalue_distance
2310,30030,0.22963414348413963,0.25755867519380815,0.32556773085731494
2310,510510,0.29423818290085824,0.31799065183233904,0.40152904023839525
30030,510510,0.11992760118517425,0.10907316277352071,0.14379701983083623
