partition,base_entropy_bits,conditional_entropy_bits,information_gain_bits
x17 only,0.9713870825231319,0.9074505027611861,0.06393657976194578
x19 only,0.9713870825231319,0.9184580955598767,0.05292898696325521
"(x17, x19)",0.9713870825231319,0.0,0.9713870825231319
