horizon_H,min_num_classes_over_b,max_num_classes_over_b,mean_num_classes_over_b,compression_vs_full_phi_mean
1,1,2,1.0857142857142856,131.71052631578948
2,1,2,1.1714285714285715,122.07317073170731
3,1,2,1.2571428571428571,113.75
5,1,2,1.4285714285714286,100.1
8,1,4,1.7714285714285714,80.72580645161291
13,1,4,2.342857142857143,61.036585365853654
21,2,8,3.7142857142857144,38.5
34,4,8,7.6571428571428575,18.675373134328357
55,15,28,23.714285714285715,6.03012048192771
