H,kb,kf,corr_real,corr_imag,best_abs_corr,top_rank_marker
13,0,1,0.36120278286787333,0.454820483148049,0.454820483148049,
13,0,2,-0.3612721366686822,-0.4550454432496089,0.4550454432496089,
13,0,3,0.3613877928277432,0.4554211640152854,0.4554211640152854,
13,1,0,0.2129111514463237,-0.3488643118942047,0.3488643118942047,
13,1,1,-0.20752335238509845,0.3442324105249367,0.3442324105249367,
13,1,2,0.20194474191564854,-0.3395772460058574,0.3395772460058574,
13,1,3,-0.1961423368648445,0.33492049841952626,0.33492049841952626,
13,2,0,-0.32557260718557063,0.29415392280586766,0.32557260718557063,
13,2,1,0.32030695845973167,-0.30093752159899073,0.32030695845973167,
13,2,2,-0.3148707511342518,0.3074000469818797,0.3148707511342518,
13,2,3,0.3092592391127726,-0.3135386418288903,0.3135386418288903,
13,3,0,0.25285377219418825,-0.2501959888645109,0.25285377219418825,
13,3,1,-0.24710415512061645,0.25936192583428136,0.25936192583428136,
13,3,2,0.24139227554209686,-0.2686780324534747,0.2686780324534747,
13,3,3,-0.23572392460163213,0.2781213680874546,0.2781213680874546,
21,0,1,-0.02307963100026943,-0.011715676940021798,0.02307963100026943,
21,0,2,0.023188108023208642,0.011647772552835573,0.023188108023208642,
21,0,3,-0.02337153459408214,-0.011526992171502387,0.02337153459408214,
21,1,0,-0.050452647807171,0.11969141468327538,0.11969141468327538,
21,1,1,0.04581659244708339,-0.11849471899298517,0.11849471899298517,
21,1,2,-0.04119581208742319,0.11712702172935063,0.11712702172935063,
21,1,3,0.036514659712717966,-0.11574406685445651,0.11574406685445651,
21,2,0,0.07161707536855036,-0.06085091426410363,0.07161707536855036,
21,2,1,-0.07058746816318229,0.06139972131513162,0.07058746816318229,
21,2,2,0.06953857980850117,-0.06210653890021371,0.06953857980850117,
21,2,3,-0.06839172753799314,0.06303507318433949,0.06839172753799314,
21,3,0,-0.03825824537442298,0.0002976925253175826,0.03825824537442298,
21,3,1,0.03970940434027437,-0.0006644755398252072,0.03970940434027437,
21,3,2,-0.04120933231430391,0.0010970441623317521,0.04120933231430391,
21,3,3,0.04268917143304241,-0.0016102068583410708,0.04268917143304241,
