qdim,W_left,W_right,direct_relative_matrix_distance,conjugated_relative_distance,eigenvalue_distance
2,2310,30030,0.15324299653882803,0.0914129535285999,0.20624335519464573
2,2310,510510,0.16467253736301724,0.07219203538581363,0.26146205416245594
2,30030,510510,0.07701065878484978,0.04683277678192373,0.0606986753346117
3,2310,30030,0.13959472799283226,0.0722229504591572,0.12580185458485263
3,2310,510510,0.20249431791017805,0.05978590168956283,0.15601004720608025
3,30030,510510,0.1262403949079263,0.10595364853214051,0.15928403652015102
4,2310,30030,0.22136199870109646,0.17686915018905192,0.25940546018709215
4,2310,510510,0.20936137080087022,0.14388840841643377,0.20871596274912857
4,30030,510510,0.19753648752587746,0.08472374671627435,0.1523532813380738
