H,small_pattern_id,small_signature_uint64,num_occurrences_in_small_word,num_positions_that_split_upstairs,max_distinct_large_future_classes_for_this_pattern
56,0,0,6508,0,1
56,1,1,312,312,2
56,2,2,448,448,2
56,3,4,448,448,2
56,4,8,448,448,2
56,5,16,448,448,2
56,6,32,404,404,2
56,7,33,44,44,4
56,8,64,554,554,2
56,9,66,86,86,4
56,10,128,554,554,2
56,11,132,86,86,4
56,12,256,554,554,2
56,13,264,86,86,4
56,14,512,554,554,2
56,15,528,86,86,4
56,16,1024,554,554,2
56,17,1056,86,86,4
56,18,2048,554,554,2
56,19,2112,86,86,4
56,20,4096,554,554,2
56,21,4224,86,86,4
56,22,8192,554,554,2
56,23,8448,86,86,4
56,24,16384,554,554,2
56,25,16896,86,86,4
56,26,32768,407,407,2
56,27,32769,147,147,3
56,28,33792,86,86,4
56,29,65536,509,509,2
56,30,65538,229,229,3
56,31,67584,86,86,4
56,32,131072,509,509,2
56,33,131076,229,229,3
56,34,135168,86,86,4
56,35,262144,509,509,2
56,36,262152,229,229,3
56,37,270336,86,86,4
56,38,524288,509,509,2
56,39,524304,229,229,3
56,40,540672,86,86,4
56,41,1048576,454,454,2
56,42,1048577,55,55,4
56,43,1048608,221,221,3
56,44,1048609,8,8,6
56,45,1081344,82,82,4
56,46,1081345,4,4,6
56,47,2097152,694,694,2
56,48,2097154,151,151,4
56,49,2097216,316,316,3
56,50,2097218,16,16,6
56,51,2162688,152,152,4
56,52,2162690,24,24,6
56,53,4194304,694,694,2
56,54,4194308,151,151,4
56,55,4194432,316,316,3
56,56,4194436,16,16,6
56,57,4325376,152,152,4
56,58,4325380,24,24,6
56,59,8388608,694,694,2
56,60,8388616,151,151,4
56,61,8388864,316,316,3
56,62,8388872,16,16,6
56,63,8650752,152,152,4
56,64,8650760,24,24,6
56,65,16777216,694,694,2
56,66,16777232,151,151,4
56,67,16777728,316,316,3
56,68,16777744,16,16,6
56,69,17301504,152,152,4
56,70,17301520,24,24,6
