feature,weight_abs,weight
f29,0.10840741502351606,-0.10840741502351606
f32,0.10277277175058763,0.10277277175058763
f41,0.07735923111756753,0.07735923111756753
f45,0.07249621231448472,0.07249621231448472
f12,0.062121459901222656,-0.062121459901222656
f27,0.06124453379287208,0.06124453379287208
f15,0.05958881324057676,0.05958881324057676
f39,0.04371747704121555,-0.04371747704121555
f38,0.04121651550767829,-0.04121651550767829
f8,0.03939500955362457,0.03939500955362457
f2,0.03910734605595518,-0.03910734605595518
f35,0.03828274191350962,-0.03828274191350962
f40,0.03797729090458101,-0.03797729090458101
f1,0.03646774147493278,-0.03646774147493278
f17,0.034665865574117126,0.034665865574117126
f20,0.033321223655070724,-0.033321223655070724
f11,0.030402200351893442,-0.030402200351893442
f6,0.028326950417699934,-0.028326950417699934
f30,0.028198213555998657,0.028198213555998657
f4,0.02759761969825169,0.02759761969825169
