H,small_pattern_id,small_signature_uint64,num_occurrences_in_small_word,num_positions_that_split_upstairs,max_distinct_large_future_classes_for_this_pattern
57,353,140737488486400,112,112,3
57,354,140737488490496,40,40,5
57,355,140737622573056,167,167,4
57,356,140737622573184,21,21,5
57,357,140737622577152,34,34,5
57,358,140741783322624,316,316,3
57,359,140741783326720,34,34,5
57,360,140741783453696,44,44,4
57,361,140741783457792,8,8,7
57,362,140741917540352,24,24,6
57,363,145135534866432,86,86,4
57,364,145135534866560,90,90,5
57,365,145135534870528,40,40,5
57,366,145135669084160,16,16,6
57,367,145135669088256,8,8,7
57,368,281474976710656,554,554,2
57,369,281474976710912,184,184,3
57,370,281474976718848,349,349,3
57,371,281474976719104,90,90,5
57,372,281474976972800,112,112,3
57,373,281474976980992,40,40,5
57,374,281475245146112,167,167,4
57,375,281475245146368,21,21,5
57,376,281475245154304,34,34,5
57,377,281483566645248,316,316,3
57,378,281483566653440,34,34,5
57,379,281483566907392,44,44,4
57,380,281483566915584,8,8,7
57,381,281483835080704,24,24,6
57,382,290271069732864,86,86,4
57,383,290271069733120,90,90,5
57,384,290271069741056,40,40,5
57,385,290271338168320,16,16,6
57,386,290271338176512,8,8,7
57,387,562949953421312,554,554,2
57,388,562949953421824,184,184,3
57,389,562949953437696,349,349,3
57,390,562949953438208,90,90,5
57,391,562949953945600,112,112,3
57,392,562949953961984,40,40,5
57,393,562950490292224,167,167,4
57,394,562950490292736,21,21,5
57,395,562950490308608,34,34,5
57,396,562967133290496,316,316,3
57,397,562967133306880,34,34,5
57,398,562967133814784,44,44,4
57,399,562967133831168,8,8,7
57,400,562967670161408,24,24,6
57,401,580542139465728,86,86,4
57,402,580542139466240,90,90,5
57,403,580542139482112,40,40,5
57,404,580542676336640,16,16,6
57,405,580542676353024,8,8,7
57,406,1125899906842624,404,404,2
57,407,1125899906842625,150,150,4
57,408,1125899906843648,184,184,3
57,409,1125899906875392,274,274,3
57,410,1125899906875393,75,75,5
57,411,1125899906876416,90,90,5
57,412,1125899907891200,110,110,3
57,413,1125899907891201,2,2,6
57,414,1125899907923968,40,40,5
57,415,1125900980584448,151,151,4
57,416,1125900980584449,16,16,6
57,417,1125900980585472,21,21,5
57,418,1125900980617216,29,29,5
57,419,1125900980617217,5,5,7
57,420,1125934266580992,221,221,3
57,421,1125934266580993,95,95,5
57,422,1125934266613760,34,34,5
57,423,1125934267629568,43,43,4
57,424,1125934267629569,1,1,7
57,425,1125934267662336,8,8,7
57,426,1125935340322816,24,24,6
57,427,1161084278931456,86,86,4
57,428,1161084278932480,90,90,5
57,429,1161084278964224,40,40,5
57,430,1161085352673280,16,16,6
57,431,1161085352706048,8,8,7
57,432,2251799813685248,404,404,2
57,433,2251799813685250,150,150,4
57,434,2251799813687296,184,184,3
57,435,2251799813750784,274,274,3
57,436,2251799813750786,75,75,5
57,437,2251799813752832,90,90,5
57,438,2251799815782400,110,110,3
57,439,2251799815782402,2,2,6
57,440,2251799815847936,40,40,5
57,441,2251801961168896,151,151,4
57,442,2251801961168898,16,16,6
57,443,2251801961170944,21,21,5
57,444,2251801961234432,29,29,5
57,445,2251801961234434,5,5,7
57,446,2251868533161984,221,221,3
57,447,2251868533161986,95,95,5
57,448,2251868533227520,34,34,5
57,449,2251868535259136,43,43,4
57,450,2251868535259138,1,1,7
57,451,2251868535324672,8,8,7
57,452,2251870680645632,24,24,6
57,453,2322168557862912,86,86,4
57,454,2322168557864960,90,90,5
57,455,2322168557928448,40,40,5
57,456,2322170705346560,16,16,6
57,457,2322170705412096,8,8,7
57,458,4503599627370496,448,448,2
57,459,4503599627370500,192,192,4
57,460,4503599627374592,184,184,3
57,461,4503599627501568,336,336,3
57,462,4503599627501572,103,103,5
57,463,4503599627505664,90,90,5
57,464,4503599631564800,136,136,3
57,465,4503599631564804,16,16,6
57,466,4503599631695872,40,40,5
57,467,4503603922337792,151,151,4
57,468,4503603922337796,16,16,6
57,469,4503603922341888,21,21,5
57,470,4503603922468864,29,29,5
57,471,4503603922468868,5,5,7
57,472,4503737066323968,229,229,3
57,473,4503737066323972,103,103,5
