W,j,n,layer_depth,b_mod_35,b_angle,t_index,fiber_mod,fiber_index,fiber_angle,admissible_bit,phi_1_prime,phi_1_index,phi_1_angle,phi_2_prime,phi_2_index,phi_2_angle,phi_3_prime,phi_3_index,phi_3_angle,phi_4_prime,phi_4_index,phi_4_angle,z1_real,z1_imag,z2_real,z2_imag,z_radius
30030,0,5,2,0,0.0,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,1.0746533349632548,-2.0584269253479723,0.7229488323545143,-0.15312039946910216,2.436822124875241
30030,1,11,2,1,0.17951958020513104,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,1.1643823654819352,-1.8609919998382998,0.8742467570842093,-0.08042093947494484,2.3642868769008873
30030,2,17,2,2,0.35903916041026207,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,1.182704970336085,-1.4589278092406244,0.9303449881592425,-0.09579907108099127,2.0980897641536527
30030,3,23,2,3,0.5385587406153931,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,1.1178003152952867,-0.9725854314342186,0.8656753356839688,-0.1769811714599425,1.7251423385260745
30030,4,29,2,4,0.7180783208205241,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,0.9730120543383433,-0.5300587473459457,0.6804777178859431,-0.28717845537554204,1.331629123779147
30030,5,35,2,5,0.8975979010256552,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,0.764923613283228,-0.23505074114450522,0.4029469444187988,-0.38502657283726505,0.9751762337537286
30030,6,41,2,6,1.0771174812307862,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,0.5183053177611892,-0.1425342130980983,0.08382559704196554,-0.43519881487555423,0.6966930052121596
30030,7,47,2,7,1.2566370614359172,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,0.25952105868107866,-0.24838442662927723,-0.21533802291029508,-0.4169051597972748,0.5909537880980277
30030,8,53,2,8,1.4361566416410483,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,0.010334086717680525,-0.4952061309747875,-0.43724748012681197,-0.3281421472923621,0.7376981314943097
30030,9,59,2,9,1.6156762218461793,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,-0.21615905199305074,-0.7920856245190697,-0.5432283770043818,-0.18477862181992383,1.0016808778212671
30030,10,65,2,10,1.7951958020513104,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,-0.416438772039706,-1.0422290502871128,-0.52302606603959,-0.01500215711673859,1.2383230493677007
30030,11,71,2,11,1.9747153822564412,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,-0.5942703873613491,-1.1704452481328644,-0.3973419609614726,0.1490942289813196,1.379568445285573
30030,12,77,2,12,2.1542349624615724,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,-0.7561352933080893,-1.1427321310338288,-0.21236802994707368,0.2802832376448055,1.4146505499703739
30030,13,83,2,13,2.3337545426667035,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,-0.9059902975331254,-0.9727110760286539,-0.0277422703923253,0.362833936428892,1.3781884325606528
30030,14,89,2,14,2.5132741228718345,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,-1.041149623370407,-0.7135879454336866,0.09887335782385452,0.3952179615221224,1.3263383701415248
30030,15,95,2,15,2.6927937030769655,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,-1.1507300154787887,-0.4385607800176822,0.12648969567809176,0.3883163758949928,1.2974222046791433
30030,16,101,2,16,2.8723132832820966,0,143,0,0.0,1,11,0,0.0,13,0,0.0,,,,,,,-1.217305934265113,-0.21592324763869936,0.04088312619431528,0.3599006975513791,1.2882765730126788
