family,instances,mean_delay_score,mean_force_index,mean_max_mono_clique_present,mean_red_density,mean_spectral_radius,mean_spectral_gap
fibonacci_mirrored_growth,264,3.5893939393939394,0.28977104019717653,4.878787878787879,0.5246463828536643,8.959312622750216,5.878672554867056
fib_shallow_stop_expand,264,3.5029401154401154,0.29847409534909536,5.003787878787879,0.522514125694042,8.923599789043442,5.4856945109187345
fibonacci_block_growth_base,264,3.4833694083694082,0.2996636150045241,5.03030303030303,0.5269277423983082,8.9722729729112,5.6347958484963465
random_baseline,264,3.290223665223665,0.3230260164919256,5.340909090909091,0.5041514489081533,9.054197015275761,6.2368717722271745
fib_de_fibonacci_plus1,264,3.2534181096681096,0.3217390669095215,5.393939393939394,0.5214651710115994,8.963494455480905,5.595473879994107
fib_linear_hash,264,3.2515512265512267,0.31841305264600717,5.390151515151516,0.5274868958805043,9.002897488563468,5.602945499904643
fib_binary_growth_schedule,264,3.2184072871572873,0.3242516637403001,5.465909090909091,0.5148425312710648,8.825650875854693,5.1589259817812545
balanced_binary_partitions,264,3.0757575757575757,0.3357052038870221,5.818181818181818,0.5,8.524018862097954,4.501392034754636
fib_parity_hash,264,2.875685425685426,0.35646474737383826,6.090909090909091,0.5349116610159942,9.099535068615463,5.823067462012618
fib_no_parity_flip,264,2.8503487253487254,0.35952499205340116,6.1856060606060606,0.5236654765041676,8.962376934185357,4.968535473776107
fib_asymmetry_off,264,2.0244260789715334,0.5052715066919612,8.742424242424242,0.5210609215567161,10.410592780334444,7.389319208953899
