family,n,seed,max_mono_clique_present,max_mono_independent_present,delay_score,force_index,red_density,spectral_radius,spectral_gap,adjacency_energy,knob_growth,knob_order,knob_parity,knob_hash,knob_stopping,knob_asymmetry
fibonacci_block_growth_base,8,0,4,4,2.0,0.5,0.5714285714285714,4.132637493579839,2.992202124092012,11.508534334319366,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,1,3,3,2.6666666666666665,0.375,0.6428571428571429,4.551228534195253,3.356762697983021,11.914709022211875,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,2,3,3,2.6666666666666665,0.375,0.5357142857142857,3.846447631875522,2.654975013610371,12.597300209597206,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,3,3,3,2.6666666666666665,0.375,0.5714285714285714,4.1047829368499205,2.9371329966588258,11.70965385275711,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,4,3,3,2.6666666666666665,0.375,0.6071428571428571,4.319105983760848,3.3191059837608483,12.501745304992482,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,5,3,3,2.6666666666666665,0.375,0.5357142857142857,3.9223385839068845,2.394475809663634,12.927358490404279,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,6,3,3,2.6666666666666665,0.375,0.5357142857142857,3.9223385839068845,2.394475809663634,12.927358490404279,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,7,4,4,2.0,0.5,0.5714285714285714,4.132637493579839,2.992202124092012,11.508534334319366,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,8,4,4,2.0,0.5,0.6071428571428571,4.361046693812769,2.780027298614053,12.602951224259783,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,9,3,3,2.6666666666666665,0.375,0.5714285714285714,4.1047829368499205,2.9371329966588258,11.70965385275711,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,10,3,3,2.6666666666666665,0.375,0.6071428571428571,4.319105983760848,3.3191059837608483,12.501745304992482,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,11,3,3,2.6666666666666665,0.375,0.5357142857142857,3.846447631875522,2.654975013610371,12.597300209597206,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,12,3,3,2.6666666666666665,0.375,0.5714285714285714,4.053181899161343,2.6389683367882473,13.031255934729877,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,13,3,3,2.6666666666666665,0.375,0.5714285714285714,4.12814697150289,2.923488998106145,12.379728416848742,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,14,3,3,2.6666666666666665,0.375,0.6071428571428571,4.319105983760848,3.3191059837608483,12.501745304992482,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,15,3,3,2.6666666666666665,0.375,0.5,3.6249920482400846,2.518938942114138,11.825001400087848,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,16,3,3,2.6666666666666665,0.375,0.5357142857142857,3.9223385839068845,2.394475809663634,12.927358490404279,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,17,3,3,2.6666666666666665,0.375,0.5357142857142857,3.9223385839068845,2.394475809663634,12.927358490404279,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,18,3,3,2.6666666666666665,0.375,0.5357142857142857,3.846447631875522,2.654975013610371,12.597300209597206,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,19,3,3,2.6666666666666665,0.375,0.5357142857142857,3.846447631875522,2.654975013610371,12.597300209597206,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,20,3,3,2.6666666666666665,0.375,0.5357142857142857,3.8586133485013105,2.3628306650974795,12.821830217970145,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,21,3,3,2.6666666666666665,0.375,0.5357142857142857,3.846447631875522,2.654975013610371,12.597300209597206,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,22,3,3,2.6666666666666665,0.375,0.5714285714285714,4.053181899161343,2.6389683367882473,13.031255934729877,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,8,23,3,3,2.6666666666666665,0.375,0.5714285714285714,4.1047829368499205,2.9371329966588258,11.70965385275711,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,0,4,4,2.5,0.4,0.5555555555555556,5.139522106181211,3.8612834954754094,15.486831456257134,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,1,4,4,2.5,0.4,0.5555555555555556,5.108905482923515,3.6379536429644723,15.233452599030965,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,2,4,4,2.5,0.4,0.5333333333333333,4.935453974434633,3.15545562036513,16.643808444534216,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,3,4,4,2.5,0.4,0.5555555555555556,5.125653984116124,3.7594719222372577,16.36218090017153,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,4,4,4,2.5,0.4,0.5777777777777777,5.262871214174547,3.8356889579219198,15.930206031648385,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,5,4,4,2.5,0.4,0.5333333333333333,4.921639037971731,2.7678302191104027,17.887456615416735,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,6,4,4,2.5,0.4,0.5333333333333333,4.921639037971731,2.7678302191104027,17.887456615416735,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,7,4,4,2.5,0.4,0.5555555555555556,5.139522106181211,3.8612834954754094,15.486831456257134,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,8,5,5,2.0,0.5,0.5555555555555556,5.107154840898876,2.5857566721678884,17.018241756644258,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,9,4,4,2.5,0.4,0.5111111111111111,4.741660546763896,3.184628444703939,16.189653856181724,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,10,4,4,2.5,0.4,0.5777777777777777,5.262871214174547,3.8356889579219198,15.930206031648385,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,11,4,4,2.5,0.4,0.5333333333333333,4.935453974434633,3.15545562036513,16.643808444534216,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,12,4,4,2.5,0.4,0.5111111111111111,4.648940171263879,2.6956241354436674,17.387968041766783,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,13,4,4,2.5,0.4,0.5555555555555556,5.069239401662898,3.382809041143097,15.710291587785969,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,14,4,4,2.5,0.4,0.5777777777777777,5.262871214174547,3.8356889579219198,15.930206031648385,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,15,4,4,2.5,0.4,0.5111111111111111,4.711930824955141,2.7094474167157614,16.543309711900626,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,16,4,4,2.5,0.4,0.5333333333333333,4.921639037971731,2.7678302191104027,17.887456615416735,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,17,4,4,2.5,0.4,0.5333333333333333,4.921639037971731,2.7678302191104027,17.887456615416735,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,18,4,4,2.5,0.4,0.5777777777777777,5.315598999504184,3.9005069541935393,16.484571909864293,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,19,4,4,2.5,0.4,0.5333333333333333,4.935453974434633,3.15545562036513,16.643808444534216,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,20,4,4,2.5,0.4,0.5333333333333333,4.899782563072286,2.753476537631476,17.771044256163528,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,21,4,4,2.5,0.4,0.5333333333333333,4.935453974434633,3.15545562036513,16.643808444534216,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,22,4,4,2.5,0.4,0.5111111111111111,4.648940171263879,2.6956241354436674,17.387968041766783,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,10,23,4,4,2.5,0.4,0.5555555555555556,5.125653984116124,3.7594719222372577,16.36218090017153,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,0,4,4,3.0,0.3333333333333333,0.5303030303030303,5.924465544109759,4.23744873040664,21.49660160706685,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,1,4,4,3.0,0.3333333333333333,0.5454545454545454,6.13937372691519,4.487157124199069,20.598973400433728,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,2,4,4,3.0,0.3333333333333333,0.5303030303030303,5.890336927275471,3.7593975658043117,22.480635581806734,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,3,4,4,3.0,0.3333333333333333,0.5303030303030303,5.932127924959662,3.949404326001476,21.82865577909859,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,4,4,4,3.0,0.3333333333333333,0.5606060606060606,6.214048919788268,4.169843282276188,22.11699923372771,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,5,4,4,3.0,0.3333333333333333,0.5151515151515151,5.8762742944029505,3.698895884801349,22.517989779191364,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,6,4,4,3.0,0.3333333333333333,0.5151515151515151,5.8762742944029505,3.698895884801349,22.517989779191364,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,7,4,4,3.0,0.3333333333333333,0.5454545454545454,6.101940140363328,4.45277489563002,21.741665987525593,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,8,5,5,2.4,0.4166666666666667,0.5303030303030303,5.935104209290805,3.0623661921021452,21.358948715078327,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,9,4,4,3.0,0.3333333333333333,0.4696969696969697,5.288291386825249,3.4762582998132814,20.839607273587283,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,10,4,4,3.0,0.3333333333333333,0.5606060606060606,6.214048919788268,4.169843282276188,22.11699923372771,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,11,4,4,3.0,0.3333333333333333,0.5303030303030303,5.890336927275471,3.7593975658043117,22.480635581806734,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,12,4,4,3.0,0.3333333333333333,0.48484848484848486,5.4094753414141525,3.2638610591185024,22.4337388747414,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,13,4,4,3.0,0.3333333333333333,0.5454545454545454,6.087689746436004,4.250380770740762,21.602651383070683,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,14,4,4,3.0,0.3333333333333333,0.5606060606060606,6.214048919788268,4.169843282276188,22.11699923372771,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,15,4,4,3.0,0.3333333333333333,0.5,5.599724361824799,3.5072033919031185,21.681753062825084,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,16,4,4,3.0,0.3333333333333333,0.5151515151515151,5.8762742944029505,3.698895884801349,22.517989779191364,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,17,4,4,3.0,0.3333333333333333,0.5151515151515151,5.8762742944029505,3.698895884801349,22.517989779191364,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,18,4,4,3.0,0.3333333333333333,0.5909090909090909,6.536108342784868,4.520102312478293,22.34479343411834,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,19,4,4,3.0,0.3333333333333333,0.5303030303030303,5.890336927275471,3.7593975658043117,22.480635581806734,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,20,4,4,3.0,0.3333333333333333,0.5151515151515151,5.7774919880386415,3.581791706160848,22.954302433497713,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,21,4,4,3.0,0.3333333333333333,0.5303030303030303,5.890336927275471,3.7593975658043117,22.480635581806734,fib,normal,alternate,phi,trim,on
fibonacci_block_growth_base,12,22,4,4,3.0,0.3333333333333333,0.48484848484848486,5.4094753414141525,3.2638610591185024,22.4337388747414,fib,normal,alternate,phi,trim,on
