role,W,L,fiber_mod,admissible_count,scale_specific_rel_error,shared_Astar_rel_error,error_ratio_shared_over_scale_specific,A11_real,A11_imag,A12_real,A12_imag,A21_real,A21_imag,A22_real,A22_imag,conjugation_aligned_distance_to_test
train,2310,385,11,21,0.32219106459383945,,,0.9947820867513479,0.00030110346175703245,0.0013840831230015123,-0.0005476311033437599,-0.0002903127830321509,0.0029793201755171222,0.8924765913559509,-0.10194923326617134,0.06356752974986418
train,30030,5005,143,189,0.3452291109506665,,,0.9999153572506868,-8.591753320327524e-05,-0.0015270399970751583,-0.0016515219283306153,0.0010467212682580588,0.0010970203463208498,0.8727687283767822,-0.0043713577236200105,0.051611716967725686
train,510510,85085,2431,2457,0.2785829682857515,,,0.9625975200213451,-0.029170261722416834,0.02566794775914971,0.02306038272478383,0.020358605718798627,0.02853130911484891,0.9565086981700696,-0.0037442696876476868,0.013747541690504827
test_scale_specific,9699690,1616615,46189,36855,0.27826786452102914,0.2819053744404879,1.0130719726682054,0.9366086851384708,-0.027975452446910014,-0.00290721839434792,0.0015822502567832896,0.009351154999972723,-0.004344969788871502,0.9833516411919162,0.004239763313913304,0.0
shared_A_star,,,,,,0.2819053744404879,1.0130719726682054,0.9647984814902916,-0.027436345474446355,0.024060476693659325,0.021593006025436366,0.019205907437638076,0.02690629859960326,0.9516066234389774,-0.00419383281403715,0.013078988998373117
