source_analysis,source_experiment,K,variant,effective_bucket_count,routing_gini,sector_entropy
inc0168_norm_geometry.json,ExpA_L2,25,ORIG,18.551319186380557,0.39436666666666653,2.9205409016936437
inc0168_norm_geometry.json,ExpA_L2,50,ORIG,32.49660559025253,0.5076959999999999,3.4811356405042577
inc0168_norm_geometry.json,ExpA_L2,75,ORIG,33.25960362231125,0.6415072463768114,3.504343556144496
inc0168_norm_geometry.json,ExpA_L2,100,ORIG,38.321545729370776,0.6729425287356321,3.646012289694421
inc0168_norm_geometry.json,ExpA_L2,150,ORIG,46.992250771829376,0.7128065573770492,3.849982710921201
inc0168_norm_geometry.json,ExpA_L2,200,ORIG,57.207048570406755,0.7275566878980892,4.046677117549321
inc0168_norm_geometry.json,ExpA_L2,400,ORIG,103.35443509312512,0.7123704797047972,4.6381641985415705
inc0170_large_k.json,raw_orig,600,ORIG,131.7014450772668,0.7148045325779038,4.880537581181572
inc0170_large_k.json,raw_orig,1000,ORIG,173.85649437179126,0.7082857142857144,5.1582302139355605
inc0170_large_k.json,raw_orig,2000,ORIG,302.6340735511496,0.6651392757660168,5.712524397629564
inc0170_large_k.json,raw_orig,3000,ORIG,422.3815416918062,0.6285633928571428,6.045909032790946
inc0170_large_k.json,raw_orig,5000,ORIG,638.7186250940557,0.5758139378673384,6.459464021084998
inc0168_norm_geometry.json,ExpA_L2,25,PERM,21.829119457598196,0.23924999999999996,3.0832448334037577
inc0168_norm_geometry.json,ExpA_L2,50,PERM,44.17878794834633,0.2745599999999999,3.788244763218773
inc0168_norm_geometry.json,ExpA_L2,75,PERM,55.324880622571214,0.4044821917808219,4.0132227281864115
inc0168_norm_geometry.json,ExpA_L2,100,PERM,74.03527245448755,0.36645591397849464,4.304541634430733
inc0168_norm_geometry.json,ExpA_L2,150,PERM,90.6131424339439,0.5065755395683453,4.506599262506059
inc0168_norm_geometry.json,ExpA_L2,200,PERM,118.85677576349181,0.5097617486338797,4.777919203232812
inc0168_norm_geometry.json,ExpA_L2,400,PERM,228.5771248589347,0.49544093567251446,5.431873680119869
inc0170_large_k.json,raw_perm,600,PERM,342.63104207117334,0.4472513684210526,5.836654189115175
inc0170_large_k.json,raw_perm,1000,PERM,468.4785031792245,0.4974811881188119,6.14949021626978
inc0170_large_k.json,raw_perm,2000,PERM,848.2135287232243,0.456977371048253,6.743132406834565
inc0170_large_k.json,raw_perm,3000,PERM,1161.3430001651154,0.42455324015247786,7.057332373177604
inc0170_large_k.json,raw_perm,5000,PERM,1684.0385208329278,0.3750934944237918,7.428950069144529
