W,best_horizon_by_conjugation_distance,best_num_states,best_spin_embedding_fit_error,best_relative_matrix_distance_to_Astar,best_conjugation_aligned_distance_to_Astar,best_eigenvalue_distance_to_Astar
30030,32,244,2.0638873896959542e-14,0.920709599757466,0.9060984599989395,0.9319271588303849
510510,32,244,4.931761102632916e-14,0.8468355832816981,0.8246238972471289,0.8267492008071348
overall_best,32,244,4.931761102632916e-14,0.8468355832816981,0.8246238972471289,0.8267492008071348
