W,horizon,raw_spin_nondeterministic_state_count,num_states,mode1_real,mode1_imag,mode1_abs,mode2_real,mode2_imag,mode2_abs,spin_embedding_fit_error,A11_real,A11_imag,A12_real,A12_imag,A21_real,A21_imag,A22_real,A22_imag,relative_matrix_distance_to_Astar,conjugation_aligned_distance_to_Astar,eigenvalue_distance_to_Astar
30030,8,2,62,0.7530714660036139,0.657938725939715,1.0000000000000038,-0.9959742939952408,0.0896393089034336,1.0000000000000018,2.0494008557488368e-14,0.7530714660036062,0.6579387259397121,2.3271739142019177e-17,3.1182544039691424e-16,0.008574634687884917,0.002786067698095636,-0.9959742939952672,0.08963930890343622,1.5322312053144538,1.515403856426633,1.5507135643302714
30030,16,3,96,-0.9639628606958599,-0.2660368455666764,1.0000000000000067,-0.22252093395631645,-0.9749279121818298,1.0000000000000064,2.045723368030986e-14,-0.9639628606958783,-0.2660368455666803,-7.561383490028607e-16,-7.029322197410745e-16,0.012390731807145512,-0.020738591844942075,-0.2225209339563124,-0.9749279121818133,1.821316369661378,1.813131148098057,1.8165715582451893
30030,32,8,244,0.8584487936018801,-0.5128992774059169,1.0000000000000175,0.30901699437494945,-0.9510565162951659,1.0000000000000122,2.0638873896959542e-14,0.8584487936018798,-0.512899277405915,-6.121404600511058e-17,3.6044555849911524e-16,0.009420380722795224,-0.012966041710807199,0.3090169943749541,-0.9510565162951741,0.920709599757466,0.9060984599989395,0.9319271588303849
30030,55,40,830,0.7530714660036192,0.6579387259397226,1.0000000000000127,-0.3930250316539293,0.9195277725514609,1.0000000000000115,3.213924007656642e-14,0.7530714660036378,0.6579387259397373,-8.18088168117348e-18,8.519933568910105e-16,-5.413921561167321e-16,1.9874624611663507e-15,-0.3930250316539251,0.9195277725514578,1.3144703364867594,1.309989577677208,1.3125246791177667
30030,56,40,869,-0.04486483035051251,0.9989930665413238,1.0000000000000089,0.1342332658176571,0.9909497617679436,1.0000000000000089,2.481267391123288e-14,-0.044864830350516124,0.9989930665413436,7.709258521199632e-17,3.628743333181293e-16,-0.023664410385660282,0.005401247245818211,0.1342332658176542,0.9909497617679296,1.424962813740288,1.4226612463221713,1.425595211268115
510510,8,2,62,-0.9009688679024209,-0.4338837391175595,1.0000000000000022,-0.9639628606958545,0.26603684556667523,1.000000000000001,1.8960109701968365e-13,-0.9009688679024052,-0.43388373911740535,-1.7814392141306362e-17,-3.3562098928958524e-16,-0.02194829905013408,-0.024917908838926417,-0.963962860695649,0.26603684556659357,2.0050152627768885,2.0020364191096536,2.011350919528516
510510,16,3,96,-0.691062648986869,-0.7227948638273973,1.000000000000007,-0.393025031653927,0.9195277725514553,1.0000000000000056,1.2331343730880589e-13,-0.6910626489868261,-0.7227948638274599,-1.4435873375977739e-16,-2.7738229719989095e-16,-0.001620400832579236,0.0012925212902880597,-0.39302503165389735,0.9195277725512974,1.7893211107008962,1.7794262995926056,1.8082920445023454
510510,32,8,244,0.3090169943749516,-0.9510565162951649,1.000000000000012,0.9839295885986412,0.17855689479863585,1.000000000000011,4.931761102632916e-14,0.3090169943749123,-0.9510565162950974,1.9069058976430344e-16,3.5776445640000403e-16,0.02086238639425447,0.006812530990570342,0.9839295885986469,0.1785568947986398,0.8468355832816981,0.8246238972471289,0.8267492008071348
510510,55,46,850,-0.8090169943749578,-0.5877852522924852,1.0000000000000155,0.47386866247300186,-0.8805955318567523,1.000000000000014,2.5911160414729877e-13,-0.8090169943746082,-0.5877852522924436,-1.3353010619361566e-15,5.902795105013105e-16,-0.01226793309364652,-0.020533061418004955,0.47386866247304194,-0.8805955318568651,1.5573651704808984,1.544332528415607,1.546898287500552
510510,56,46,911,-0.6910626489868771,0.7227948638274087,1.0000000000000209,0.9362348706397561,-0.3513748240813476,1.0000000000000193,8.004688332736663e-14,-0.6910626489868705,0.7227948638273056,1.7194336147157932e-16,-3.228604363003059e-16,0.008744770395288735,0.005772372398438386,0.9362348706396763,-0.3513748240813054,1.3650131704692903,1.345658832533569,1.358050014196932
